GEOID,median_HH_income,median_rent,median_val_own_prop,perc_white,perc_poverty,perc_o25_ed,owner_occ,rent_occ,rent_vac,temp_vac,gentri_score_2012,gentrification_ind,geometry,w_gentrification_ind,gentrification_std,w_gentrification_std,p-sim,sig,labels
14000US36005000200,70893.0,1237.0,394800.0,0.0177109122071986,0.1322314049586777,0.4623532779845405,0.4804845222072678,0.4152086137281292,0.0053835800807537,0.0,-0.1760063411014032,-0.1760063411014032,"POLYGON ((-73.865218 40.814529, -73.864255 40.814658, -73.86332899999999 40.814782, -73.862404 40.814906, -73.861482 40.815029, -73.86055399999999 40.815155, -73.859717 40.815269, -73.859555 40.815114, -73.858383 40.813997, -73.858189 40.813812, -73.85772 40.813362, -73.857156 40.812824, -73.856133 40.811415, -73.85561799999999 40.81060799999999, -73.85545599999999 40.809947, -73.855312 40.809329, -73.855295 40.808899, -73.855159 40.808318, -73.854984 40.807716, -73.85480699999999 40.80725899999999, -73.85460399999999 40.806527, -73.854417 40.80578, -73.85586099999999 40.805671, -73.856498 40.805682, -73.856487 40.80547, -73.856478 40.805409, -73.85652999999999 40.804794, -73.85542599999999 40.804506, -73.855256 40.80460799999999, -73.854632 40.799724, -73.862965 40.79767, -73.866484 40.805901, -73.86230999999999 40.80992, -73.861165 40.811127, -73.86161199999999 40.811359, -73.862934 40.812047, -73.86332399999999 40.812265, -73.86708 40.814441, -73.865218 40.814529))",-1.4353045100396602,-0.17600634110140306,-1.4006041156029767,0.03,1,LL
14000US36005000400,76667.0,1390.0,353500.0,0.0406354515050167,0.1261682242990654,0.6285024154589371,0.6661971830985915,0.2380281690140845,0.0333333333333333,0.0,0.8113779632720541,0.8113779632720541,"POLYGON ((-73.85959699999999 40.815283, -73.85870299999999 40.815405, -73.85777999999999 40.81553, -73.85678299999999 40.815662, -73.85551699999999 40.815833, -73.85471799999999 40.815942, -73.85361999999999 40.816088, -73.851629 40.816354, -73.851145 40.814396, -73.850899 40.814344, -73.850115 40.814419, -73.849097 40.814551, -73.848112 40.814687, -73.847054 40.814826, -73.846632 40.813013, -73.846097 40.81307899999999, -73.84646699999999 40.812306, -73.84638699999999 40.811625, -73.84313399999999 40.811603, -73.845117 40.806299, -73.846654 40.801024, -73.853072 40.800113, -73.854632 40.799724, -73.855256 40.80460799999999, -73.85542599999999 40.804506, -73.85652999999999 40.804794, -73.856478 40.805409, -73.856487 40.80547, -73.856498 40.805682, -73.85586099999999 40.805671, -73.854417 40.80578, -73.85460399999999 40.806527, -73.85480699999999 40.80725899999999, -73.854984 40.807716, -73.855159 40.808318, -73.855295 40.808899, -73.855312 40.809329, -73.85545599999999 40.809947, -73.85561799999999 40.81060799999999, -73.856133 40.811415, -73.857156 40.812824, -73.85772 40.813362, -73.858189 40.813812, -73.858383 40.813997, -73.859555 40.815114, -73.859717 40.815269, -73.85959699999999 40.815283))",-1.2434804062681672,0.8113779632720542,-1.2087800118314838,0.054,0,Non-Significant
14000US36005001600,31540.0,945.0,376400.0,0.023447820343461,0.3121827411167512,0.3905696375034069,0.1488530990727184,0.8125915080527086,0.0307467057101024,0.0,-2.667454616050569,-2.667454616050569,"POLYGON ((-73.862464 40.819247, -73.861531 40.819379, -73.86202899999999 40.821509, -73.861114 40.821632, -73.860193 40.821757, -73.859262 40.821882, -73.85826399999999 40.822013, -73.858445 40.822774, -73.855312 40.823192, -73.855136 40.822436, -73.854967 40.82168, -73.85480799999999 40.821029, -73.854637 40.8203, -73.854142 40.818238, -73.853949 40.817467, -73.853787 40.816815, -73.85361999999999 40.816088, -73.85471799999999 40.815942, -73.85551699999999 40.815833, -73.85678299999999 40.815662, -73.85777999999999 40.81553, -73.85870299999999 40.815405, -73.85959699999999 40.815283, -73.859717 40.815269, -73.86055399999999 40.815155, -73.861482 40.815029, -73.861982 40.817135, -73.862078 40.817521, -73.862464 40.819247))",-1.888112058359893,-2.667454616050569,-1.8534116639232094,0.005,1,LL
14000US36005001900,39130.0,1134.0,374400.0,0.0727069351230425,0.3128898128898129,0.535180055401662,0.0870425321463897,0.8644906033630069,0.0089020771513353,0.0108803165182987,-2.086677415452177,-2.086677415452177,"POLYGON ((-73.93180099999999 40.807876, -73.930938 40.808253, -73.93010799999999 40.808877, -73.92952199999999 40.809322, -73.92944 40.809384, -73.929332 40.80947099999999, -73.929219 40.80956399999999, -73.928556 40.809046, -73.927618 40.80863799999999, -73.92742 40.808552, -73.926524 40.808162, -73.925507 40.807718, -73.924713 40.80737, -73.92426499999999 40.807175, -73.92263799999999 40.806479, -73.921448 40.805989, -73.920615 40.805651, -73.918819 40.804905, -73.917315 40.804298, -73.915868 40.803714, -73.915449 40.803541, -73.914941 40.80362299999999, -73.914653 40.803757, -73.914429 40.803845, -73.913478 40.804263, -73.912947 40.804498, -73.912719 40.80458, -73.91240999999999 40.804691, -73.912278 40.804816, -73.91147599999999 40.805171, -73.910555 40.805594, -73.909672 40.805994, -73.909127 40.806166, -73.90844299999999 40.806477, -73.907833 40.806762, -73.906655 40.807312, -73.90635 40.807499, -73.90608899999999 40.807744, -73.90561599999999 40.808097, -73.90496 40.808531, -73.903074 40.80988, -73.90305699999999 40.809783, -73.903042 40.809697, -73.90303 40.809631, -73.903002 40.809486, -73.90298799999999 40.809364, -73.902952 40.809146, -73.902433 40.806584, -73.902294 40.805935, -73.901892 40.805007, -73.895736 40.802633, -73.892504 40.801206, -73.89610999999999 40.796919, -73.897722 40.795138, -73.899869 40.792449, -73.91245599999999 40.796096, -73.913624 40.796786, -73.91380199999999 40.796834, -73.91390299999999 40.796843, -73.914462 40.797042, -73.91575399999999 40.79758899999999, -73.916252 40.797838, -73.91630599999999 40.797881, -73.91866899999999 40.798801, -73.918812 40.798853, -73.91890099999999 40.798903, -73.91905299999999 40.798988, -73.91909799999999 40.799013, -73.919861 40.799353, -73.920357 40.799672, -73.920728 40.800101, -73.921052 40.800642, -73.921204 40.801011, -73.921622 40.801447, -73.92174199999999 40.801689, -73.92233999999999 40.801962, -73.923022 40.802425, -73.923633 40.802554, -73.923748 40.802548, -73.923801 40.802504, -73.924069 40.802468, -73.92508099999999 40.802521, -73.926419 40.802476, -73.92656199999999 40.802476, -73.926737 40.8025, -73.92725 40.802558, -73.927525 40.802764, -73.928225 40.80385, -73.92840099999999 40.804106, -73.929986 40.805793, -73.930347 40.806196, -73.93040599999999 40.806479, -73.93116599999999 40.807205, -73.93180099999999 40.807876))",-3.570571615514988,-2.086677415452177,-3.5358712210783043,0.001,1,LL
14000US36005002000,17083.0,610.0,378500.0,0.014018179826963,0.550531914893617,0.2808518383691299,0.1601880877742946,0.7827586206896552,0.0269592476489028,0.0106583072100313,-4.029473163724908,-4.029473163724908,"POLYGON ((-73.87050099999999 40.820364, -73.868881 40.820586, -73.86857599999999 40.820624, -73.867656 40.820751, -73.86669599999999 40.82088, -73.865746 40.821012, -73.86451099999999 40.819847, -73.86431399999999 40.818999, -73.863705 40.819083, -73.86339099999999 40.819122, -73.862464 40.819247, -73.862078 40.817521, -73.861982 40.817135, -73.861482 40.815029, -73.862404 40.814906, -73.86332899999999 40.814782, -73.864255 40.814658, -73.865218 40.814529, -73.86708 40.814441, -73.869545 40.816095, -73.86962 40.816481, -73.869665 40.816709, -73.869969 40.818268, -73.87050099999999 40.820364))",-2.239776207372276,-4.029473163724908,-2.205075812935592,0.002,1,LL
14000US36005002300,16503.0,417.0,582735.2271784232,0.0020729684908789,0.4918367346938775,0.2264846919955735,0.0074589756340129,0.9671805072103432,0.0253605171556439,0.0,-4.449664333775134,-4.449664333775134,"POLYGON ((-73.92880599999999 40.809899, -73.928135 40.809622, -73.927773 40.810108, -73.927673 40.810235, -73.927121 40.810949, -73.926321 40.810586, -73.92614 40.810503, -73.92514199999999 40.81005, -73.92288599999999 40.809106, -73.92337499999999 40.808432, -73.92383699999999 40.807809, -73.92426499999999 40.807175, -73.924713 40.80737, -73.925507 40.807718, -73.926524 40.808162, -73.92742 40.808552, -73.927618 40.80863799999999, -73.928556 40.809046, -73.929219 40.80956399999999, -73.92880599999999 40.809899))",-3.51809575707646,-4.449664333775134,-3.4833953626397762,0.001,1,LL
14000US36005002400,61285.43672692674,1396.1056910569105,582735.2271784232,0.4715447154471545,0.0,1.0,0.0,1.0,0.0,0.0,0.707792190657577,0.707792190657577,"POLYGON ((-73.880546 40.818468, -73.879769 40.819181, -73.877844 40.819418, -73.876126 40.81963, -73.875646 40.819698, -73.873057 40.820066, -73.872468 40.820151, -73.872991 40.822302, -73.87338299999999 40.824032, -73.873413 40.824225, -73.87343199999999 40.824343, -73.873554 40.82441, -73.872823 40.824535, -73.87262199999999 40.824571, -73.872506 40.824591, -73.872125 40.82463, -73.871515 40.824715, -73.871489 40.824624, -73.87145799999999 40.824494, -73.871419 40.824329, -73.87100199999999 40.822563, -73.87050099999999 40.820364, -73.869969 40.818268, -73.869665 40.816709, -73.86962 40.816481, -73.869545 40.816095, -73.86708 40.814441, -73.86332399999999 40.812265, -73.862934 40.812047, -73.86161199999999 40.811359, -73.861165 40.811127, -73.86230999999999 40.80992, -73.866484 40.805901, -73.871303 40.813954, -73.87689899999999 40.815799, -73.87796999999999 40.816152, -73.88098099999999 40.818238, -73.880546 40.818468))",-2.8453221577849725,0.7077921906575771,-2.810621763348289,0.001,1,HL
14000US36005002500,21060.0,692.0,475000.0,0.0161033445407892,0.5101816180517337,0.2923780487804878,0.0350706283487579,0.84997564539698,0.0652703360935216,0.0097418412079883,-3.959080962853607,-3.959080962853607,"POLYGON ((-73.92383699999999 40.807809, -73.92337499999999 40.808432, -73.92288599999999 40.809106, -73.920046 40.807907, -73.919224 40.807558, -73.917479 40.806823, -73.917964 40.806116, -73.918819 40.804905, -73.920615 40.805651, -73.921448 40.805989, -73.92263799999999 40.806479, -73.92426499999999 40.807175, -73.92383699999999 40.807809))",-3.9882917176379378,-3.959080962853607,-3.953591323201254,0.001,1,LL
14000US36005002701,18409.0,447.0,582735.2271784232,0.0,0.5687732342007435,0.3209150326797386,0.0,0.9853479853479854,0.0,0.0,-4.43695530145033,-4.43695530145033,"POLYGON ((-73.917964 40.806116, -73.917479 40.806823, -73.914495 40.805561, -73.914997 40.804872, -73.913478 40.804263, -73.914429 40.803845, -73.914653 40.803757, -73.914941 40.80362299999999, -73.915449 40.803541, -73.915868 40.803714, -73.917315 40.804298, -73.918819 40.804905, -73.917964 40.806116))",-3.508668050469456,-4.43695530145033,-3.473967656032772,0.001,1,LL
14000US36005002702,16000.0,963.0,437100.0,0.0096071733561058,0.5403899721448467,0.2691043549712407,0.0494579945799458,0.9234417344173442,0.0,0.0,-4.039653842419203,-4.039653842419203,"POLYGON ((-73.91701499999999 40.807506, -73.916589 40.808133, -73.916184 40.80878999999999, -73.915392 40.808453, -73.914332 40.808007, -73.91339599999999 40.807609, -73.912543 40.807243, -73.91166799999999 40.806966, -73.910782 40.8067, -73.90958599999999 40.806326, -73.909127 40.806166, -73.909672 40.805994, -73.910555 40.805594, -73.91147599999999 40.805171, -73.912278 40.804816, -73.91240999999999 40.804691, -73.912719 40.80458, -73.912947 40.804498, -73.913478 40.804263, -73.914997 40.804872, -73.914495 40.805561, -73.917479 40.806823, -73.91701499999999 40.807506))",-3.589782042043985,-4.039653842419203,-3.5550816476073015,0.001,1,LL
